,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,ticker
0,2023-01-31,2023-02-22,0.88,0.81,0.07,8.642,NVDA
1,2022-10-31,2022-11-16,0.58,0.69,-0.11,-15.942,NVDA
2,2022-07-31,2022-08-24,0.51,1.25,-0.74,-59.2,NVDA
3,2022-04-30,2022-05-25,1.36,1.29,0.07,5.4264,NVDA
4,2022-01-31,2022-02-16,1.32,1.22,0.1,8.1967,NVDA
5,2021-10-31,2021-11-17,1.17,1.11,0.06,5.4054,NVDA
6,2021-07-31,2021-08-18,1.04,1.01,0.03,2.9703,NVDA
7,2021-04-30,2021-05-26,0.92,0.82,0.1,12.1951,NVDA
8,2021-01-31,2021-02-24,0.78,0.7,0.08,11.4286,NVDA
9,2020-10-31,2020-11-18,0.73,0.64,0.09,14.0625,NVDA
10,2020-07-31,2020-08-19,0.55,0.49,0.06,12.2449,NVDA
11,2020-04-30,2020-05-21,0.45,0.42,0.03,7.1429,NVDA
12,2020-01-31,2020-02-13,0.47,0.42,0.05,11.9048,NVDA
13,2019-10-31,2019-11-14,0.45,0.39,0.06,15.3846,NVDA
14,2019-07-31,2019-08-15,0.31,0.29,0.02,6.8966,NVDA
15,2019-04-30,2019-05-16,0.88,0.81,0.07,8.642,NVDA
16,2019-01-31,2019-02-14,0.8,0.75,0.05,6.6667,NVDA
17,2018-10-31,2018-11-15,1.84,1.87,-0.03,-1.6043,NVDA
18,2018-07-31,2018-08-16,1.94,1.77,0.17,9.6045,NVDA
19,2018-04-30,2018-05-10,2.05,1.59,0.46,28.9308,NVDA
20,2018-01-31,2018-02-08,1.78,1.17,0.61,52.1368,NVDA
21,2017-10-31,2017-11-09,1.33,0.94,0.39,41.4894,NVDA
22,2017-07-31,2017-08-10,0.92,0.7,0.22,31.4286,NVDA
23,2017-04-30,2017-05-09,0.79,0.66,0.13,19.697,NVDA
24,2017-01-31,2017-02-09,0.99,0.83,0.16,19.2771,NVDA
25,2016-10-31,2016-11-10,0.83,0.57,0.26,45.614,NVDA
26,2016-07-31,2016-08-11,0.4,0.37,0.03,8.1081,NVDA
27,2016-04-30,2016-05-12,0.33,0.32,0.01,3.125,NVDA
28,2016-01-31,2016-02-17,0.35,0.32,0.03,9.375,NVDA
29,2015-10-31,2015-11-05,0.44,0.25,0.19,76,NVDA
30,2015-07-31,2015-08-06,0.05,0.1,-0.05,-50,NVDA
31,2015-04-30,2015-05-07,0.24,0.26,-0.02,-7.6923,NVDA
32,2015-01-31,2015-02-11,0.35,0.28,0.07,25,NVDA
33,2014-10-31,2014-11-06,0.31,0.28,0.03,10.7143,NVDA
34,2014-07-31,2014-08-07,0.22,0.2,0.02,10,NVDA
35,2014-04-30,2014-05-06,0.21,0.17,0.04,23.5294,NVDA
36,2014-01-31,2014-02-12,0.24,0.18,0.06,33.3333,NVDA
37,2013-10-31,2013-11-07,0.2,0.2,0,0,NVDA
38,2013-07-31,2013-08-08,0.16,0.13,0.03,23.0769,NVDA
39,2013-04-30,2013-05-09,0.13,0.1,0.03,30,NVDA
40,2013-01-31,2013-02-13,0.28,0.24,0.04,16.6667,NVDA
41,2012-10-31,2012-11-08,0.33,0.3,0.03,10,NVDA
42,2012-07-31,2012-08-09,0.22,0.14,0.08,57.1429,NVDA
43,2012-04-30,2012-05-11,0.1,0.1,0,0,NVDA
44,2012-01-31,2012-02-15,0.19,0.19,0,0,NVDA
45,2011-10-31,2011-11-10,0.29,0.26,0.03,11.5385,NVDA
46,2011-07-31,2011-08-11,0.25,0.25,0,0,NVDA
47,2011-04-30,2011-05-12,0.22,0.19,0.03,15.7895,NVDA
48,2011-01-31,2011-02-16,0.23,0.16,0.07,43.75,NVDA
49,2010-10-31,2010-11-11,0.15,0.14,0.01,7.1429,NVDA
50,2010-07-31,2010-08-12,0.03,0.11,-0.08,-72.7273,NVDA
51,2010-04-30,2010-05-13,0.23,0.21,0.02,9.5238,NVDA
52,2010-01-31,2010-02-17,0.23,0.2,0.03,15,NVDA
53,2009-10-31,2009-11-05,0.19,0.1,0.09,90,NVDA
54,2009-07-31,2009-08-06,0.07,-0.02,0.09,450,NVDA
55,2009-04-30,2009-05-07,-0.09,-0.11,0.02,18.1818,NVDA
56,2009-01-31,2009-02-10,-0.18,-0.09,-0.09,-100,NVDA
57,2008-10-31,2008-11-06,0.2,0.12,0.08,66.6667,NVDA
58,2008-07-31,2008-08-12,0.13,0.12,0.01,8.3333,NVDA
59,2008-04-30,2008-05-08,0.36,0.38,-0.02,-5.2632,NVDA
60,2008-01-31,2008-02-13,0.49,0.47,0.02,4.2553,NVDA
61,2007-10-31,2007-11-08,0.44,0.37,0.07,18.9189,NVDA
62,2007-07-31,2007-08-09,0.34,0.28,0.06,21.4286,NVDA
63,2007-04-30,2007-05-10,0.28,0.26,0.02,7.6923,NVDA
64,2007-01-31,2007-02-13,0.35,0.28,0.07,25,NVDA
65,2006-10-31,2006-11-09,0.19,0.19,0,0,NVDA
66,2006-07-31,2006-08-10,0.0375,None,None,None,NVDA
67,2006-04-30,2006-05-11,0.19,0.19,0,0,NVDA
68,2006-01-31,2006-02-16,0.18,0.16,0.02,12.5,NVDA
69,2005-10-31,2005-11-09,0.14,0.12,0.02,16.6667,NVDA
70,2005-07-31,2005-08-11,0.14,0.11,0.03,27.2727,NVDA
71,2005-04-30,2005-05-12,0.23,0.09,0.14,155.5556,NVDA
72,2005-01-31,2005-02-17,0.13,0.08,0.05,62.5,NVDA
73,2004-10-31,2004-11-04,0.08,0.03,0.05,166.6667,NVDA
74,2004-07-31,2004-08-05,0.09,0.05,0.04,80,NVDA
75,2004-04-30,2004-05-06,0.08,0.03,0.05,166.6667,NVDA
76,2004-01-31,2004-02-12,0.1,0.04,0.06,150,NVDA
77,2003-10-31,2003-11-06,0.05,0.04,0.01,25,NVDA
78,2003-07-31,2003-08-07,0.03,0.04,-0.01,-25,NVDA
79,2003-04-30,2003-05-08,0.04,0.04,0,0,NVDA
80,2003-01-31,2003-02-13,0.05,0.02,0.03,150,NVDA
81,2002-10-31,2002-11-07,0.02,0.03,-0.01,-33.3333,NVDA
82,2002-07-31,2002-08-15,0.04,0.04,0,0,NVDA
83,2002-04-30,2002-05-22,0.16,0.15,0.01,6.6667,NVDA
84,2002-01-31,2002-02-14,0.04,0.03,0.01,33.3333,NVDA
85,2001-10-31,2001-11-08,0.09,0.08,0.01,12.5,NVDA
86,2001-07-31,2001-08-14,0.07,0.07,0,0,NVDA
87,2001-04-30,2001-05-22,0.07,0.07,0,0,NVDA
88,2001-01-31,2001-02-15,0.01,0.06,-0.05,-83.3333,NVDA
89,2000-10-31,2000-11-09,0.06,0.05,0.01,20,NVDA
90,2000-07-31,2000-08-21,0.05,0.04,0.01,25,NVDA
91,2000-04-30,2000-05-16,0.04,0.03,0.01,33.3333,NVDA
92,2000-01-31,2000-02-15,0.03,0.03,0,0,NVDA
93,1999-10-31,1999-11-18,0.02,0.02,0,0,NVDA
94,1999-07-31,1999-08-18,0.02,0.02,0,0,NVDA
95,1999-04-30,1999-05-18,0.02,0.01,0.01,100,NVDA
