,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,ticker
0,2023-01-31,2023-02-21,1.71,1.51,0.2,13.245,WMT
1,2022-10-31,2022-11-15,1.5,1.32,0.18,13.6364,WMT
2,2022-07-31,2022-08-16,1.77,1.62,0.15,9.2593,WMT
3,2022-04-30,2022-05-17,1.3,1.48,-0.18,-12.1622,WMT
4,2022-01-31,2022-02-17,1.53,1.5,0.03,2,WMT
5,2021-10-31,2021-11-16,1.45,1.4,0.05,3.5714,WMT
6,2021-07-31,2021-08-17,1.78,1.57,0.21,13.3758,WMT
7,2021-04-30,2021-05-18,1.69,1.21,0.48,39.6694,WMT
8,2021-01-31,2021-02-18,1.39,1.51,-0.12,-7.947,WMT
9,2020-10-31,2020-11-17,1.34,1.18,0.16,13.5593,WMT
10,2020-07-31,2020-08-18,1.56,1.25,0.31,24.8,WMT
11,2020-04-30,2020-05-19,1.18,1.12,0.06,5.3571,WMT
12,2020-01-31,2020-02-18,1.38,1.44,-0.06,-4.1667,WMT
13,2019-10-31,2019-11-14,1.16,1.09,0.07,6.422,WMT
14,2019-07-31,2019-08-15,1.27,1.22,0.05,4.0984,WMT
15,2019-04-30,2019-05-16,1.13,1.02,0.11,10.7843,WMT
16,2019-01-31,2019-02-19,1.41,1.33,0.08,6.015,WMT
17,2018-10-31,2018-11-15,1.08,1.01,0.07,6.9307,WMT
18,2018-07-31,2018-08-16,1.29,1.22,0.07,5.7377,WMT
19,2018-04-30,2018-05-17,1.14,1.12,0.02,1.7857,WMT
20,2018-01-31,2018-02-20,1.33,1.37,-0.04,-2.9197,WMT
21,2017-10-31,2017-11-16,1,0.97,0.03,3.0928,WMT
22,2017-07-31,2017-08-17,1.08,1.07,0.01,0.9346,WMT
23,2017-04-30,2017-05-18,1,0.96,0.04,4.1667,WMT
24,2017-01-31,2017-02-21,1.3,1.29,0.01,0.7752,WMT
25,2016-10-31,2016-11-17,0.98,0.96,0.02,2.0833,WMT
26,2016-07-31,2016-08-18,1.07,1.02,0.05,4.902,WMT
27,2016-04-30,2016-05-19,0.98,0.88,0.1,11.3636,WMT
28,2016-01-31,2016-02-18,1.49,1.46,0.03,2.0548,WMT
29,2015-10-31,2015-11-17,0.99,0.98,0.01,1.0204,WMT
30,2015-07-31,2015-08-18,1.08,1.12,-0.04,-3.5714,WMT
31,2015-04-30,2015-05-19,1.03,1.04,-0.01,-0.9615,WMT
32,2015-01-31,2015-02-19,1.61,1.54,0.07,4.5455,WMT
33,2014-10-31,2014-11-13,1.15,1.12,0.03,2.6786,WMT
34,2014-07-31,2014-08-14,1.21,1.21,0,0,WMT
35,2014-04-30,2014-05-15,1.1,1.15,-0.05,-4.3478,WMT
36,2014-01-31,2014-02-20,1.6,1.59,0.01,0.6289,WMT
37,2013-10-31,2013-11-14,1.14,1.13,0.01,0.885,WMT
38,2013-07-31,2013-08-15,1.25,1.25,0,0,WMT
39,2013-04-30,2013-05-16,1.14,1.15,-0.01,-0.8696,WMT
40,2013-01-31,2013-02-21,1.67,1.57,0.1,6.3694,WMT
41,2012-10-31,2012-11-15,1.08,1.07,0.01,0.9346,WMT
42,2012-07-31,2012-08-16,1.18,1.17,0.01,0.8547,WMT
43,2012-04-30,2012-05-17,1.09,1.04,0.05,4.8077,WMT
44,2012-01-31,2012-02-21,1.44,1.45,-0.01,-0.6897,WMT
45,2011-10-31,2011-11-15,0.97,0.98,-0.01,-1.0204,WMT
46,2011-07-31,2011-08-16,1.09,1.08,0.01,0.9259,WMT
47,2011-04-30,2011-05-17,0.98,0.95,0.03,3.1579,WMT
48,2011-01-31,2011-02-22,1.34,1.31,0.03,2.2901,WMT
49,2010-10-31,2010-11-16,0.9,0.9,0,0,WMT
50,2010-07-31,2010-08-17,0.97,0.96,0.01,1.0417,WMT
51,2010-04-30,2010-05-18,0.88,0.85,0.03,3.5294,WMT
52,2010-01-31,2010-02-18,1.17,1.12,0.05,4.4643,WMT
53,2009-10-31,2009-11-12,0.84,0.81,0.03,3.7037,WMT
54,2009-07-31,2009-08-13,0.88,0.85,0.03,3.5294,WMT
55,2009-04-30,2009-05-14,0.77,0.77,0,0,WMT
56,2009-01-31,2009-02-17,1.03,0.99,0.04,4.0404,WMT
57,2008-10-31,2008-11-13,0.77,0.76,0.01,1.3158,WMT
58,2008-07-31,2008-08-14,0.86,0.84,0.02,2.381,WMT
59,2008-04-30,2008-05-13,0.76,0.75,0.01,1.3333,WMT
60,2008-01-31,2008-02-19,1.04,1.02,0.02,1.9608,WMT
61,2007-10-31,2007-11-13,0.69,0.67,0.02,2.9851,WMT
62,2007-07-31,2007-08-14,0.72,0.76,-0.04,-5.2632,WMT
63,2007-04-30,2007-05-15,0.68,0.68,0,0,WMT
64,2007-01-31,2007-02-20,0.92,0.9,0.02,2.2222,WMT
65,2006-10-31,2006-11-14,0.62,0.59,0.03,5.0847,WMT
66,2006-07-31,2006-08-15,0.72,0.72,0,0,WMT
67,2006-04-30,2006-05-16,0.63,0.61,0.02,3.2787,WMT
68,2006-01-31,2006-02-21,0.84,0.83,0.01,1.2048,WMT
69,2005-10-31,2005-11-14,0.57,0.57,0,0,WMT
70,2005-07-31,2005-08-16,0.67,0.65,0.02,3.0769,WMT
71,2005-04-30,2005-05-12,0.55,0.56,-0.01,-1.7857,WMT
72,2005-01-31,2005-02-17,0.75,0.74,0.01,1.3514,WMT
73,2004-10-31,2004-11-16,0.54,0.54,0,0,WMT
74,2004-07-31,2004-08-12,0.62,0.61,0.01,1.6393,WMT
75,2004-04-30,2004-05-13,0.5,0.49,0.01,2.0408,WMT
76,2004-01-31,2004-02-19,0.63,0.63,0,0,WMT
77,2003-10-31,2003-11-13,0.46,0.47,-0.01,-2.1277,WMT
78,2003-07-31,2003-08-13,0.52,0.52,0,0,WMT
79,2003-04-30,2003-05-13,0.41,0.42,-0.01,-2.381,WMT
80,2003-01-31,2003-02-18,0.57,0.56,0.01,1.7857,WMT
81,2002-10-31,2002-11-13,0.41,0.4,0.01,2.5,WMT
82,2002-07-31,2002-08-13,0.46,0.45,0.01,2.2222,WMT
83,2002-04-30,2002-05-14,0.37,0.36,0.01,2.7778,WMT
84,2002-01-31,2002-02-19,0.49,0.49,0,0,WMT
85,2001-10-31,2001-11-13,0.33,0.33,0,0,WMT
86,2001-07-31,2001-09-14,0.37,0.37,0,0,WMT
87,2001-04-30,2001-06-15,0.31,0.31,0,0,WMT
88,2001-01-31,2001-03-15,0.45,0.45,0,0,WMT
89,2000-10-31,2000-11-14,0.31,0.31,0,0,WMT
90,2000-07-31,2000-08-09,0.36,0.36,0,0,WMT
91,2000-04-30,2000-05-09,0.3,0.28,0.02,7.1429,WMT
92,2000-01-31,2000-02-15,0.43,0.42,0.01,2.381,WMT
93,1999-10-31,1999-11-09,0.29,0.28,0.01,3.5714,WMT
94,1999-07-31,1999-08-10,0.31,0.28,0.03,10.7143,WMT
95,1999-04-30,1999-05-11,0.25,0.22,0.03,13.6364,WMT
96,1999-01-31,1999-02-16,0.35,0.33,0.02,6.0606,WMT
97,1998-10-31,1998-11-10,0.23,0.22,0.01,4.5455,WMT
98,1998-07-31,1998-08-11,0.23,0.22,0.01,4.5455,WMT
99,1998-04-30,1998-05-12,0.19,0.17,0.02,11.7647,WMT
100,1998-01-31,1998-02-24,0.28,0.28,0,0,WMT
101,1997-10-31,1997-11-11,0.18,0.17,0.01,5.8824,WMT
102,1997-07-31,1997-08-12,0.18,0.18,0,0,WMT
103,1997-04-30,1997-05-12,0.14,0.14,0,0,WMT
104,1997-01-31,1997-02-25,0.24,0.24,0,0,WMT
105,1996-10-31,1996-11-12,0.15,0.15,0,0,WMT
106,1996-07-31,1996-08-13,0.16,0.15,0.01,6.6667,WMT
107,1996-04-30,1996-05-14,0.13,0.13,0,0,WMT
